group,d_sample,theta_pool,phi_pool,ratio,fbar,c,d_pool,d_clonal,theta_clonal,phi_clonal
all,0.004884147996024188,0.10280061834097258,0.3595401226190079,3.4974509727798817,977.0889687067578,0.05465767252075924,0.09040854579317695,1.691906212372833e-05,1.691944380522278e-05,5.917492519547096e-05
boot_0,0.00490520804341917,0.10059150746208811,0.3401070663527176,3.3810713740511384,1036.4523815253551,0.05593896699452033,0.08869549006157776,1.6908717858468505e-05,1.690909907338247e-05,5.717087083800809e-05
boot_1,0.0048524377058238675,0.09918343354402849,0.3139527193827562,3.1653745808607194,1172.692339464511,0.056027851119552906,0.08759894767090333,1.5989525881222634e-05,1.5989866775074152e-05,5.061391784116909e-05
boot_2,0.0053444199860582945,0.10678269552005099,0.5731135235977806,5.367101109469229,807.3025711310102,0.05792101566416793,0.09347413534236582,1.418968453758374e-05,1.4189953005526073e-05,7.61589125192752e-05
boot_3,0.004496731157023011,0.10543910656634417,0.5112397975369736,4.848673458886835,808.9387078261684,0.04925492407166013,0.09244296796551126,1.320830276064244e-05,1.3208535377088155e-05,6.404387491365515e-05
boot_4,0.004797883570584378,0.10217081148468593,0.31369530733451123,3.07030259206202,991.2939562863346,0.05395631542176211,0.0899210669748356,1.873904509517636e-05,1.8739513309289647e-05,5.753597628749274e-05
boot_5,0.00451164621892355,0.10699877740760251,0.5188374070608225,4.849003134721405,837.8476742824997,0.04880268279743648,0.0936396704070607,1.2628609864014732e-05,1.2628822509978092e-05,6.123719993872401e-05
boot_6,0.004464490463159342,0.10320952315454776,0.435710710009136,4.221613439262723,944.0817966885157,0.04981356798968883,0.09072465820554318,1.3153784960886873e-05,1.3154015661011377e-05,5.5531169294797955e-05
boot_7,0.004730728004298411,0.10221363078322022,0.44656021172971727,4.368891001209071,943.8756364705573,0.05323329825938893,0.08995423250501308,1.3634977143892672e-05,1.3635225031868222e-05,5.957081194118974e-05
boot_8,0.00455835128431462,0.06340884894602754,0.007541298316673372,0.11893132334088556,4707.528952733492,0.07637169278798513,0.05846584626063761,0.00014768824551225624,0.0001477173336640437,1.756821797305186e-05
boot_9,0.004693733274908811,0.10354962496104342,0.41179858967046773,3.9768235744493636,879.4663305264764,0.05220254698163341,0.09098735029533535,1.5747826211632516e-05,1.5748156877282726e-05,6.262764152370481e-05
boot_10,0.004704469745429576,0.10063811781322797,0.2542431446364155,2.5263106083547755,881.4318161877436,0.05352840107596883,0.08873172595880965,2.5398099248677547e-05,2.539895936239848e-05,6.416566047839911e-05
boot_11,0.004928145763318413,0.10572005500694145,0.48262402228201146,4.565113234667944,783.4505067218582,0.053842425649907134,0.09265885588548337,1.5911020175067052e-05,1.5911357729645518e-05,7.263714975314084e-05
boot_12,0.004534065619322354,0.10058560110213881,0.39149654149017393,3.892172808040706,939.4572004364887,0.051716080660928795,0.08869089804583385,1.4914823025398393e-05,1.4915119633891381e-05,5.805222306770608e-05
boot_13,0.004725288856638026,0.1048505536263469,0.34882717374987976,3.32689873048249,844.1348000123861,0.051950811621647774,0.09199024892265861,1.951237258205802e-05,1.9512880238843843e-05,6.491737649466645e-05
boot_14,0.005319283609191596,0.099778437329143,0.3227923361285342,3.2350911155656465,1086.3551572289705,0.06108977246041494,0.08806275225347006,1.851339597985044e-05,1.851385298557235e-05,5.9894001308513634e-05
boot_15,0.0050122066817942035,0.10289082150332998,0.44405330160589473,4.315771758042803,984.094302160693,0.056084120952357076,0.09047830529056315,1.3989797853520255e-05,1.3990058810979886e-05,6.037790070978488e-05
boot_16,0.004647792843497002,0.10552283887134359,0.40781278744027555,3.864687415560269,967.6154458232354,0.0508678662438203,0.09250732482830813,1.4331764997497963e-05,1.4332038868715298e-05,5.538885025524465e-05
boot_17,0.004947992750268844,0.10252514863792489,0.357847711670733,3.4903408229574824,1030.8990813994185,0.055509778767779565,0.09019541722762854,1.6333830376820362e-05,1.633418610992071e-05,5.701187658924134e-05
boot_18,0.0049504319609090346,0.09804042683012831,0.2520163036073897,2.5705345412668463,1374.4823772110592,0.05772842293837038,0.08670614960827233,1.734007542489016e-05,1.7340476338446978e-05,4.457429338999841e-05
boot_19,0.004909016274499019,0.09889153763872222,0.27738196549160615,2.8049110380400615,1246.1544723297482,0.05681533769124415,0.08737117751856649,1.7233674680614046e-05,1.7234070689104284e-05,4.8340035106231305e-05
boot_20,0.0049005332643140154,0.1036735110386567,0.28064995147922056,2.707055531036995,1086.512591267927,0.054413675634969974,0.09108298696581152,1.956477926909884e-05,1.956528965653013e-05,5.29643255810508e-05
boot_21,0.005099548307881442,0.10566162571999857,0.41796718032560093,3.9557140776274493,808.5592082000642,0.05572148425129285,0.09261396901294598,1.8449552947024837e-05,1.8450006806194762e-05,7.298295165558688e-05
boot_22,0.004912525910595633,0.0996287103996747,0.28614041854913097,2.872067874824818,893.3237772627725,0.05642360920519418,0.08794610149721306,2.330666877296015e-05,2.33073930632136e-05,6.694041486277058e-05
boot_23,0.004982541529809,0.10131287220249145,0.3545134457653696,3.499194505677547,1061.2356851476316,0.0564807633858214,0.08925585014976145,1.61201793716417e-05,1.6120525859332924e-05,5.640885551561059e-05
boot_24,0.0052778398578017666,0.10429300518835226,0.38895675214401354,3.729461543864433,981.3627959725419,0.05834603269820189,0.09156080339674384,1.6929505298855668e-05,1.692988745168143e-05,6.313936419299893e-05
boot_25,0.004540776631472485,0.09686227355835657,0.24161484697806465,2.494416433788322,1034.216781726127,0.05344508503257341,0.085783376396636,2.188675708483146e-05,2.188739581031855e-05,5.4596279802088254e-05
boot_26,0.004801139873375514,0.10609333561725243,0.4577336482943981,4.314442991459338,871.481334254236,0.05230377257943662,0.09294547498792115,1.4678478417441518e-05,1.467876570003555e-05,6.33306977977921e-05
boot_27,0.004859873813247957,0.06555738500737775,0.0116153777907434,0.17717878450210026,40994.88479821639,0.08123418728914514,0.06028765070294658,1.2172859934793492e-05,1.2173057509358878e-05,2.15680753318237e-06
boot_28,0.0052981718393268875,0.10260795600613552,0.32789724405220144,3.195631769846332,1009.7284932712214,0.059375601175082386,0.0902594990610759,1.9562774028146238e-05,1.9563284310959872e-05,6.251705286663967e-05
boot_29,0.004912667700944354,0.10393483862743969,0.347469874988702,3.3431511471743125,924.3204274844524,0.054440037008074836,0.09128463372670617,1.8631626684761097e-05,1.8632089546276807e-05,6.228989154088982e-05
boot_30,0.0049150754920670526,0.10638634118941824,0.4180598029883074,3.929637943314192,875.7144730664445,0.0534038511024631,0.09317028081186494,1.6394296192095382e-05,1.6394654563859233e-05,6.442505664167042e-05
boot_31,0.004912066651356566,0.106898265944118,0.43111783945883475,4.032973179230105,885.0282696547166,0.05315742808265125,0.09356268141090739,1.572909396390133e-05,1.572942384334884e-05,6.343634448496838e-05
boot_32,0.004787350862785111,0.10367068733182833,0.3840394472626759,3.704416910379358,846.3625404581369,0.053170597881536795,0.09108080745034186,1.791115187966583e-05,1.7911579635696844e-05,6.635195849408193e-05
boot_33,0.004620564719028863,0.09646052332604373,0.40370577719199646,4.185191654283701,1060.2784921532311,0.05468581102814732,0.08546812343978202,1.303656511982965e-05,1.3036791726475379e-05,5.456147193227956e-05
boot_34,0.005345789926871674,0.10540939067712463,0.44002153783284526,4.174405477597892,988.9646936464767,0.0585774816042967,0.09242012522829979,1.5071993392012237e-05,1.5072296284745577e-05,6.291787617102029e-05
boot_35,0.004640259574296389,0.10533545607537562,0.354315958316997,3.363691310772478,945.2363155757181,0.05083695931344304,0.09236328448141612,1.6845434425557253e-05,1.6845812792270234e-05,5.6664114112259245e-05
boot_36,0.004952464510049678,0.09898798607881874,0.30075998284656624,3.038348336606095,1176.1027201983802,0.057273857501083665,0.08744645481028238,1.7001532376265883e-05,1.7001917787806852e-05,5.165774862969652e-05
boot_37,0.004931027186440586,0.097248225283041,0.24483832621588247,2.5176636951808677,1310.8923875733624,0.05789558819206883,0.0860859507116877,1.8620085637229155e-05,1.8620547925491804e-05,4.6880277496386125e-05
boot_38,0.004857789066669355,0.10236619357737833,0.40655815071050794,3.9716056297745577,1029.5261256343183,0.054591365873619006,0.09007237236945166,1.4122152814956613e-05,1.412241873356391e-05,5.60886777482561e-05
boot_39,0.005056349618948391,0.10205184822294006,0.30496744117457303,2.9883578444199106,1094.51959492473,0.05693487989489184,0.08982890692254983,1.84578275440756e-05,1.845828181045216e-05,5.515995124277806e-05
boot_40,0.004946771293905945,0.07056707686715606,0.006182700726426959,0.08761452225187132,1693.6749805206805,0.07012131057229377,0.06449845374302687,0.0005081799900996525,0.0005085245527692415,4.455413574422362e-05
boot_41,0.004627910939241156,0.10069371316705115,0.26555446222764145,2.6372496740395883,1038.7097638200228,0.05268247174185605,0.08877494179912719,2.0301358872945762e-05,2.030190841471714e-05,5.354120134909435e-05
boot_42,0.004585920295638986,0.09957584853425532,0.32252711420722213,3.2390094481220397,879.3976579455699,0.05271994851027742,0.08790490752478149,1.9538853032289823e-05,1.9539362067921543e-05,6.328817834827527e-05
boot_43,0.0044549310056831585,0.10702592326213414,0.3706650551757194,3.4633203235057817,797.0807670120365,0.04811831090556212,0.09366046028230701,1.8311857913232725e-05,1.831230502300292e-05,6.342137815640303e-05
boot_44,0.0046385866832922,0.10476673859229167,0.3987954216669035,3.806507933962214,943.4418705448182,0.05107628863764274,0.09192572709792542,1.4988085015816221e-05,1.4988384545391975e-05,5.7053404689311193e-05
boot_45,0.005348872898538118,0.10342709804439645,0.368829646396929,3.5660832931675945,930.3425424100586,0.05953941301364961,0.0908927355494658,1.9082250182036984e-05,1.9082735704086134e-05,6.805062498227432e-05
boot_46,0.005082846172584155,0.10508743097585001,0.42272292386633226,4.0225831000043915,856.7072187214,0.05581379272002468,0.09217253157602953,1.715325058962711e-05,1.7153642910607604e-05,6.90019540757203e-05
boot_47,0.005205875832105205,0.10420751573010266,0.3420075257352515,3.2819852132455645,1075.9765360672527,0.057584843988669115,0.09149490651668678,1.7303203358946558e-05,1.7303602569285355e-05,5.6790167768272504e-05
boot_48,0.0048666530290105755,0.06398998194932824,0.007982659272319875,0.1247485782796611,6586.6933333201205,0.0816527159017769,0.058959554203682776,0.00010820831643193731,0.00010822393073772768,1.3500781495368042e-05
boot_49,0.0049257510711453005,0.10300421868159826,0.30026507696125515,2.915075526075493,980.7827703311959,0.05499407791463674,0.09056598117486575,2.0354421110690137e-05,2.0354973528960678e-05,5.9336285168187786e-05
boot_50,0.0048192241682898295,0.10205854457343652,0.36871426270950014,3.612772103017702,1034.0189243515856,0.054284979805710475,0.08983409522452161,1.5365628891969326e-05,1.5365943701820654e-05,5.5513652742478214e-05
boot_51,0.005055430816736792,0.10545091529852807,0.4623186271340278,4.384206868429914,988.1111854110341,0.055383930734243206,0.09245204495023134,1.3534168917823837e-05,1.3534413153868942e-05,5.933766710936039e-05
boot_52,0.004587228618680623,0.1022178801359742,0.3528463084559131,3.451903991616175,1182.927008898524,0.051615298519762744,0.0899575236437761,1.3328376365691039e-05,1.332861323072247e-05,4.600909321383906e-05
boot_53,0.004704528821514585,0.06466710475226807,0.007781808543194524,0.12033643029181065,5616.633113845761,0.07785424216666505,0.059533922851775764,0.0001249135435421273,0.00012493435153220734,1.5034153884208035e-05
boot_54,0.004900299529415127,0.09738899357399054,0.21830518060935356,2.241579593319217,1246.9397448365164,0.057425640463011594,0.08619624013810749,2.179669232105975e-05,2.179732580053161e-05,4.886044070340212e-05
boot_55,0.004901051671494164,0.10209605845581265,0.33800954749523926,3.3107012416305017,933.7725585016717,0.055154551064236265,0.08986315930227988,1.8882499414207664e-05,1.888297482455575e-05,6.251588819733422e-05
boot_56,0.004538417237887898,0.06633358955510796,0.008040406059269211,0.12121168345019959,3775.662511968199,0.0725983356281767,0.06094345841317668,0.00017104923746108998,0.00017108825681557912,2.0737895627176428e-05
boot_57,0.004599055379735907,0.10538621159462566,0.38400078046246366,3.6437478361927034,886.704224927252,0.050367417085505115,0.09240230626189562,1.641598629603621e-05,1.641634561670911e-05,5.981702381907539e-05
boot_58,0.004946833075229907,0.10567845158162711,0.4185656446025841,3.9607473268027564,938.5312190613084,0.05407115379220391,0.09262689569863437,1.5377343156748953e-05,1.5377658446790132e-05,6.0907019585609845e-05
boot_59,0.004878563637115577,0.10336616424545743,0.35565993158622544,3.4407771071166104,893.3120376686167,0.054317446581203986,0.09084567262241994,1.8686770103544628e-05,1.868723570898138e-05,6.429861282275517e-05
boot_60,0.004647937295510174,0.10432563169898523,0.4022498364227235,3.8557143615803877,938.3982607331545,0.0513668593653442,0.09158594904689416,1.4965549689482574e-05,1.4965848319011457e-05,5.770403629684617e-05
boot_61,0.005157162722426141,0.10379644540544125,0.43372173385264906,4.178579836317905,976.686028749737,0.05726499776902538,0.09117786150668931,1.4883872345773006e-05,1.4884167724509518e-05,6.219468313400922e-05
boot_62,0.004934505206551532,0.10606771144551715,0.5378793823324034,5.071094445256237,804.9808535486693,0.05378012404754833,0.09292580776094453,1.3923309698963344e-05,1.3923568181832555e-05,7.060772926503756e-05
boot_63,0.00518085136407688,0.10557661198668748,0.4952864849232838,4.691251931684795,892.0501914461045,0.056694723937321424,0.09254864833921812,1.4361914416042772e-05,1.4362189440756872e-05,6.737664895717366e-05
boot_64,0.0049448672208628084,0.10557597524923691,0.47738958009402055,4.521763393300703,795.9369468106978,0.054089591758557466,0.09254815905023661,1.588829156647835e-05,1.588862815735402e-05,7.184461717169022e-05
boot_65,0.004974142848390305,0.1052960415564633,0.531331356807741,5.046071523237872,837.0551654600731,0.05455888420872977,0.09233297867675687,1.3662290392274596e-05,1.3662539274380013e-05,6.894215036756801e-05
boot_66,0.004697962488685353,0.10440295787988436,0.3069675625580326,2.94021902053004,1097.8557946735386,0.05186743993921853,0.09164553760934116,1.694730987443914e-05,1.6947692831508567e-05,4.982992881730208e-05
boot_67,0.005129562161170879,0.10263213894172407,0.3851391386879188,3.752617285961526,942.4786863160034,0.05749180681966304,0.09027821107216566,1.7247057490629268e-05,1.7247454114406173e-05,6.472309444854885e-05
boot_68,0.004622775193492211,0.0673493686090514,0.005864923777499793,0.08708208998282396,2670.317891194693,0.07061247687598517,0.06179979871122785,0.0003267328481115758,0.00032687524928647787,2.8464979871523077e-05
boot_69,0.004719549282960606,0.10172810601758314,0.24530206835726662,2.4113499991326637,1101.8101714325346,0.05324619385375054,0.08957797561703605,2.1168226832733835e-05,2.1168824308033477e-05,5.1045444476816026e-05
boot_70,0.004788368228329433,0.09793439031808344,0.2613665761661181,2.668792599996991,1083.134496133251,0.05585010167651676,0.0866232029001786,2.0463777493249165e-05,2.0464335863403372e-05,5.461506811610395e-05
boot_71,0.005194928767178935,0.1027628964873582,0.39997618350501524,3.8922237225399727,1102.704299115859,0.058192819712844596,0.0903793688526893,1.4396288493611887e-05,1.4396564836412823e-05,5.603465117937079e-05
boot_72,0.004893810981093448,0.10486249458019675,0.36744634278908855,3.504077833167252,819.6586730797394,0.05380298580387235,0.09199944018338203,1.9797849633583873e-05,1.9798372253846366e-05,6.937503734749662e-05
boot_73,0.005059705616879405,0.10168185552353479,0.3692370005888704,3.6312968394189915,1018.4254666922278,0.05717463430053957,0.08954211146810528,1.6397631970280695e-05,1.6397990487898127e-05,5.9545971031527145e-05
boot_74,0.004844731635121737,0.10904631495453618,0.4286214910579959,3.9306370988941506,814.0358918581494,0.05152361458269606,0.0952041057532858,1.6977482736904734e-05,1.697786705883127e-05,6.673383412153511e-05
boot_75,0.004892742249557844,0.10565987553980974,0.4406904930922632,4.170840546998592,819.176937634844,0.05347418077818344,0.09261262438520225,1.653523497477103e-05,1.6535599534802703e-05,6.896734900868617e-05
boot_76,0.004668162006209237,0.10417145200062462,0.38208537383758034,3.667851090673953,973.8172415502327,0.05165414724422802,0.09146710396077641,1.524927834696775e-05,1.5249588407258814e-05,5.5933219471893114e-05
boot_77,0.004846269491503093,0.10314629540165142,0.3730555154543689,3.616761164341304,856.8300897225683,0.05405870079277868,0.09067579847465493,1.844110229408127e-05,1.8441555737569026e-05,6.669870260167521e-05
boot_78,0.004873284445127675,0.09881489520068422,0.2693586472876158,2.7258911395956296,1195.2308125907673,0.05642615197214712,0.08731134646617053,1.8354571503266438e-05,1.8355020701319646e-05,5.003378829682159e-05
boot_79,0.005246812493525347,0.07013878322977962,0.00442452508662952,0.06308243289785143,1648.8849217996667,0.071807662762111,0.06414047048863503,0.0007437620783153783,0.0007445003865217597,4.696489567518336e-05
boot_80,0.004916277347401826,0.10306813726804327,0.39732777110850503,3.855000989056375,991.7733260357833,0.05491294532848995,0.09061539116745092,1.5197284941785567e-05,1.5197592891318366e-05,5.858673562730843e-05
boot_81,0.0049948564134647995,0.10185129827687334,0.32977768029079735,3.2378348226286446,1058.6762265105174,0.05634706340642133,0.0896734839310262,1.7419718844200284e-05,1.742012344907057e-05,5.6403482317890496e-05
boot_82,0.004896750306179299,0.10253103230699999,0.42991609192632496,4.193033877188163,1008.5683226864885,0.05495771845854524,0.09019997081180571,1.3751300120105233e-05,1.3751552255734815e-05,5.766072447221937e-05
boot_83,0.00484450289567327,0.10732223412636521,0.6158772852771421,5.738580549413323,811.630543577926,0.05228520305631388,0.09388730676837878,1.1845087504331386e-05,1.1845274582083302e-05,6.797506231920325e-05
boot_84,0.005340753079139899,0.105779644552326,0.4424668171241921,4.182910795330922,861.472279471727,0.058323420621379525,0.09270462778504852,1.7187840219759562e-05,1.718823412458862e-05,7.189685007241708e-05
boot_85,0.005135306406082342,0.10382324008387143,0.4217923920181429,4.062600932868274,1028.3288554408803,0.0570131864650981,0.09119853666111809,1.4472165096440277e-05,1.4472444359912445e-05,5.8795765957464496e-05
boot_86,0.004554902314159671,0.0993437062076125,0.28657747118933863,2.884706863970199,909.6549637053462,0.05245127548414702,0.08772394392417714,2.1094834413388016e-05,2.1095427752795116e-05,6.08541252368755e-05
boot_87,0.00500625640464173,0.10190512050093446,0.38862691430920954,3.8136151784997483,1034.2890562305279,0.056474185992324524,0.089715202475552,1.51746050442531e-05,1.5174912075316198e-05,5.7871275022824964e-05
boot_88,0.004689742508174893,0.10817431383478451,0.5434638537673045,5.023963956890369,856.1194692625525,0.05026272212670423,0.09453875986284489,1.2304433745220695e-05,1.2304635613985589e-05,6.181804582733319e-05
boot_89,0.004972469195903767,0.09736840710268382,0.2399993719755929,2.464858768024127,1333.5727965258366,0.058318660394226535,0.08618011329535391,1.8840603379917715e-05,1.884107668292176e-05,4.644059306091464e-05
boot_90,0.004823194761315925,0.10128401635097224,0.32410500508766354,3.1999620153743282,1030.2777192440274,0.05466685080840367,0.08923345300061493,1.7540422011684544e-05,1.7540832243151186e-05,5.612999689613707e-05
boot_91,0.004585123411636463,0.09734892065440688,0.27675667754071426,2.8429352444821974,1170.499997783189,0.05378743498943671,0.08616484745672219,1.708259082751879e-05,1.7082979922926975e-05,4.856580570367086e-05
boot_92,0.004597153766135374,0.10265455701880513,0.2705984946779734,2.636010543870964,1049.327540036413,0.05146946867061768,0.09029555654202154,1.9617341668537147e-05,1.9617854802084424e-05,5.171287210642417e-05
boot_93,0.004570940775881463,0.060996212125658644,0.0066854594722968,0.10960450230129122,6609.2573444616755,0.07982418047887342,0.056408597734801454,0.00011975195032558634,0.00011977107408520541,1.3127448965200017e-05
boot_94,0.0047693767323887136,0.10482863353310433,0.4164878022179771,3.9730347346982486,878.0153644261533,0.05248499188915178,0.09197337579214762,1.5879051567695672e-05,1.5879387767185296e-05,6.308935916476965e-05
boot_95,0.0050490639020243045,0.10816508869000795,0.502187720053189,4.642789333741655,853.0687555198734,0.05410616761706947,0.09453171375375076,1.4442466408102483e-05,1.4442744526572702e-05,6.705462023792741e-05
boot_96,0.004524105655585526,0.10190332860259221,0.3464175116782665,3.3994719939840548,951.1497060095901,0.051003891576863976,0.08971381362872587,1.662181853507584e-05,1.6622186923042092e-05,5.650665892364959e-05
boot_97,0.004735452258255964,0.10560278651239306,0.3452715089012576,3.269530287070011,960.87027427819,0.051764689864570064,0.09256876103353784,1.7376702669952427e-05,1.7377105279008025e-05,5.681497201132091e-05
boot_98,0.004731780694769731,0.09944399618975075,0.2948278392145664,2.964762585083573,1028.8581292217916,0.05447383044794614,0.08780213584045692,1.888725947141319e-05,1.8887735121485278e-05,5.599765040514848e-05
boot_99,0.0048315721571753146,0.10467988397629167,0.40663730401428494,3.8845792387999,920.3048046819594,0.05323858022276533,0.09185885201481654,1.5729330533799988e-05,1.572966042317063e-05,6.110311231322108e-05
boot_100,0.005089795481196633,0.10133662928800553,0.2571739978247814,2.537818749564637,1013.9818627619417,0.05760702923386509,0.0892742886319445,2.375486971955472e-05,2.3755622135166624e-05,6.028746326219858e-05
boot_101,0.004966227494745433,0.09732085957643258,0.1899628681649985,1.9519234518865707,1179.8015374490692,0.05818151382088832,0.08614286295136384,2.68253913499801e-05,2.6826350853126934e-05,5.236298335875578e-05
boot_102,0.004775473846195912,0.0960496638340064,0.2294060536384128,2.388410791680372,1010.7633873827385,0.05660295170971527,0.08514541279888552,2.4853413135583697e-05,2.4854236752402598e-05,5.9362127278417276e-05
