group,d_sample,theta_pool,phi_pool,ratio,fbar,c,d_pool,d_clonal,theta_clonal,phi_clonal
all,0.005132841769788641,0.09258270072868022,0.32865521104584167,3.5498555179221625,1161.9817530484656,0.062010769128977204,0.08240974504515677,2.404088988805447e-05,2.4041660531939233e-05,8.534442129931596e-05
boot_0,0.005081150520536565,0.08805963415297208,0.2792464990873334,3.1711067366262573,1233.2221678951025,0.06416381658059578,0.07880671365526458,2.6298406362864315e-05,2.6299328536769557e-05,8.339797789169712e-05
boot_1,0.005125262501118735,0.09243394575924141,0.46723410952178057,5.0547891868509485,1172.8102120077735,0.06209061151924849,0.08229186355608174,1.675041326594574e-05,1.6750787376093847e-05,8.467169889991855e-05
boot_2,0.005300587472511133,0.0910528360017423,0.3169995996335416,3.4814906767700875,1332.2973130616713,0.06502288767605943,0.08119540661196374,2.2490035630044555e-05,2.2490710052538457e-05,7.830119736185193e-05
boot_3,0.005023905596807266,0.09788074132439897,0.38659100879135266,3.949612595496211,1012.023953246679,0.057774928752210276,0.08658122824989649,2.3010747699516662e-05,2.3011453713857473e-05,9.088632742892955e-05
boot_4,0.005075407977146674,0.09244683122040165,0.3390230291481645,3.6672217389463873,1147.1418763221334,0.061402026254312216,0.08230207633977286,2.332598786694716e-05,2.3326713358457527e-05,8.554423032630654e-05
boot_5,0.005136264298497068,0.09288781023207071,0.27103605950192694,2.9178861986817326,1102.435817744762,0.061795069073938266,0.08265140013695543,3.071324507722782e-05,3.071450286663311e-05,8.962142401391926e-05
boot_6,0.005029727875433054,0.09256138404420122,0.3177443700664197,3.432796228659307,1268.7050079337653,0.060791561575623876,0.08239285510562759,2.229276274706643e-05,2.2293425389790475e-05,7.652878660197038e-05
boot_7,0.00507295443848167,0.09492076729091205,0.3100819696661007,3.2667452920577973,1162.7869733754899,0.059927171487591906,0.08425710223272644,2.5173181498030822e-05,2.5174026445146474e-05,8.223713237182073e-05
boot_8,0.004646355462436287,0.09439565660410307,0.3299336238031873,3.495220391198022,1142.2140686876576,0.05517004024312925,0.08384309168263585,2.193910129842439e-05,2.1939743082752327e-05,7.668423740048169e-05
boot_9,0.005356832124312175,0.09276088446648814,0.37551876158557057,4.048244728856965,1179.838986662171,0.06464533506068647,0.08255089270535851,2.1705141992114955e-05,2.170577016121282e-05,8.78702696409106e-05
boot_10,0.005024353381694547,0.08927659875102868,0.32236459678754376,3.6108521303162813,1125.1743699074962,0.0626875404518659,0.07977995474068308,2.4692130574153473e-05,2.4692943536001544e-05,8.916256777075082e-05
boot_11,0.0046630758067150654,0.09217734576123593,0.35539893946736206,3.855599621928155,1021.0869273021643,0.05654308128732847,0.08208842195634969,2.283463172654593e-05,2.2835326974921704e-05,8.804387805111391e-05
boot_12,0.004893532377948533,0.09168335763689962,0.331496982550101,3.6156723651303544,1056.6434039930398,0.05961249182828758,0.08169642134867863,2.488881200218467e-05,2.4889637966878217e-05,8.999277617494084e-05
boot_13,0.004881376676499374,0.09695490068676067,0.5401477566899597,5.5711238200847095,1011.3879437415469,0.05667963485655976,0.08585601837371501,1.5995525376817204e-05,1.5995866526535803e-05,8.911495302887928e-05
boot_14,0.005274540072559067,0.08891239352873614,0.2610702881536505,2.9362643135827136,1314.6761110826085,0.06603281181693194,0.07948898557339992,2.7472963714976796e-05,2.7473970103488472e-05,8.067083796731156e-05
boot_15,0.005435833000918192,0.09316045152197713,0.3141027316965044,3.371631701703438,1131.9292859715426,0.0652872708905435,0.08286719154742242,2.745251843046637e-05,2.7453523321606328e-05,9.256316955458255e-05
boot_16,0.00520739556520067,0.09033938622221606,0.2664632733987055,2.9495802942833973,1046.1297099250019,0.0641987083006346,0.08062759020644701,3.33494095709168e-05,3.335089254768364e-05,9.837113545541065e-05
boot_17,0.0053314675049094574,0.09501897317743645,0.3416290291876013,3.5953769838119634,1130.9741925417682,0.06294280953424465,0.08433447312444349,2.4778451201251673e-05,2.477926985715695e-05,8.909081652008766e-05
boot_18,0.005082704507615003,0.0943853891717185,0.29901894363894393,3.168063894878144,1309.1234001291027,0.06036705264056532,0.08383499144653349,2.323584533953227e-05,2.3236565234513616e-05,7.361492336044329e-05
boot_19,0.005082251332657768,0.09547240760071328,0.34307372705487726,3.5934332827311475,1070.4900698972046,0.059733976400083856,0.08469147550744334,2.4772492915024318e-05,2.477331117725848e-05,8.902124090781616e-05
boot_20,0.005576154332893841,0.09255480129992366,0.29411413876517584,3.1777296761958302,1210.2422705899535,0.06736302370131506,0.08238763919907062,2.8171562461232194e-05,2.817262068355657e-05,8.952497280234617e-05
boot_21,0.005095717357881845,0.08616177964630146,0.23513648633604076,2.7290114863143278,1348.9403984752296,0.06558974837882672,0.07728329171187553,2.8601677438894304e-05,2.8602768221761688e-05,7.805728301757409e-05
boot_22,0.005267362946653386,0.09360542735318034,0.41258131853743074,4.40766449343509,1064.6851379895622,0.06305294964463416,0.08321908351769518,2.151056896107711e-05,2.1511185918207947e-05,9.481409038336608e-05
boot_23,0.005059069505110495,0.09089888208028947,0.2672472192866327,2.940049571243106,1226.4058597401968,0.062082875482390804,0.08107296015373676,2.7536563969345395e-05,2.7537575022940302e-05,8.096183563927051e-05
boot_24,0.005128440117794715,0.09489796493577671,0.3737089295124784,3.93800783573589,1071.499394475067,0.06062371397466246,0.08423913496731246,2.2941705452841243e-05,2.294240723677352e-05,9.034737946905791e-05
boot_25,0.004830346185380128,0.0907089420117293,0.354940746061227,3.9129631344981477,1113.5822537156125,0.05943865708513833,0.08092183050415065,2.175429757597725e-05,2.1754928593564407e-05,8.512623358025717e-05
boot_26,0.005045401788750735,0.09970323487461578,0.6173103541073004,6.191477687595733,920.8806631096038,0.05716051773157933,0.08800416791045425,1.5949680444171294e-05,1.595001964112643e-05,9.8754190724748e-05
boot_27,0.005359989268877662,0.09173509705131548,0.3520029072394801,3.8371672190260395,1163.9639401455843,0.06530730700735554,0.08173750034839312,2.3465722772580596e-05,2.3466456982412603e-05,9.004471947959836e-05
boot_28,0.005110847762873798,0.09102942353374352,0.23731009328253505,2.606960299980006,1324.7055508043895,0.06262439174810797,0.08117678851644654,2.901799206965163e-05,2.9019114838243957e-05,7.565168032386271e-05
boot_29,0.005290672372012106,0.0984831793305778,0.3292203584629983,3.3429095273001557,1118.9726825559562,0.060497136152322856,0.08705226726616794,2.5821642249170915e-05,2.5822531289390813e-05,8.632238586631091e-05
boot_30,0.005168406952934375,0.09433665598603289,0.31720685969485796,3.3624984517346297,1245.4004229194209,0.061415519906160954,0.08379654192189313,2.343823590679497e-05,2.3438968397555923e-05,7.881349494703871e-05
boot_31,0.005007079777102486,0.09036538953868865,0.34852635980193103,3.856856718940103,1169.4539786664284,0.06183040540487515,0.08064830250948396,2.1917719189095207e-05,2.19183597230332e-05,8.453597296592674e-05
boot_32,0.005054366679976135,0.09146964882181849,0.35509783985687726,3.8821384407914645,1134.0943223143488,0.06173846055357769,0.08152669167856155,2.241831390422599e-05,2.2418984031987918e-05,8.703359971407032e-05
boot_33,0.005242244552942462,0.09269647521427019,0.30557121976122137,3.2964707563570887,1162.8356954698502,0.06324248117026199,0.08249987801720113,2.6418331738212187e-05,2.6419262341994627e-05,8.709032571491138e-05
boot_34,0.005058609993439258,0.092124925165837,0.2945651886849641,3.197453763514141,1180.2203501767315,0.061357885596496166,0.08204684579401487,2.59832957444377e-05,2.5984195951168476e-05,8.308326513595254e-05
boot_35,0.005104500460972112,0.0943678168283242,0.36776351920834244,3.897128614063258,1016.4002955755873,0.06062365346936209,0.0838211277249962,2.4439044527351984e-05,2.4439840909165615e-05,9.52452033302631e-05
boot_36,0.005104532451974715,0.09269412858624952,0.31778314467518726,3.428298528956968,1069.5997041489773,0.06156931647713829,0.08249801924729053,2.683820621325966e-05,2.683916663337792e-05,9.201267548764047e-05
boot_37,0.005219688683644541,0.09446780053104657,0.38387678605319536,4.063572814178471,1017.5604976824729,0.06194537606563852,0.08390000228988023,2.3955417218378735e-05,2.3956182392170952e-05,9.734769150032685e-05
